name,valueUSD,poCount,basePOs,changeOrders
Rastra Bhusan Construction and Suppliers Pvt Ltd,74651899.82,21,21,0
KATKUWA SUPPLIERS,49013084.05,10,10,0
Shivam Traders,41259202.91,13,13,0
TATEKAN Constructions and Services,19319779.18,2,1,1
GODAWARI STEEL PVT. LTD.,14027445.93,3,3,0
Xylem Japan K.K.,11727743.0,1,0,1
Oman Cables Industry (SAOG),7628484.5,5,4,1
Fox Logistics and Construction,7046365.01,1,1,0
J.M.T. GROUP PVT. LTD.,6705229.04,5,5,0
World Gate Engineering & Construction,5930216.14,8,6,2
Global Services Vertiv Japan GK,4997777.0,2,2,0
BATH N ROOM TRADE CONCERN PVT LTD,4707736.1,11,11,0
SASHI ITTA UDHYOG,4478630.0,5,5,0
New Balkumari Traders Pvt. Ltd.,3957542.5,3,3,0
AARATI MEDITECH,3630230.0,3,3,0
GORKHA PRECAST AND WINDOR PVT. LTD.,3400962.19,1,1,0
Dubai Cable Company (Private) Limited,3216658.0,3,3,0
Evangel International Machinery Ltd.,3210747.6,47,43,4
Kirby Building Systems - Kuwait,3159899.58,3,2,1
Vision of Kitchen Links PVT LTD,3099000.0,1,1,0
